delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delayed,delivery_status,delivery_rating,delivery_cost,delay_hours,cost_per_km,package_category,delivery_performance
250.99,amazon logistics,furniture,van,standard,east,foggy,214.9,5.67,7,24,no,delivered,5,1091.51,-17,5.079153094462541,Light,On Time
250.99,shadowfax,documents,ev van,two day,north,stormy,115.4,0.67,6,16,no,delivered,4,578.59,-10,5.013778162911612,Light,On Time
250.99,dhl,clothing,ev bike,express,east,foggy,293.8,41.03,9,7,yes,delayed,3,1632.7206,2,5.557251872021784,Heavy,Delayed
250.99,amazon logistics,cosmetics,scooter,standard,east,clear,286.8,46.67,8,24,no,delivered,3,1574.01,-16,5.488179916317991,Heavy,On Time
250.99,fedex,furniture,truck,express,south,hot,136.1,48.1,3,4,no,delivered,5,874.8,-1,6.427626745040412,Heavy,On Time
250.99,dhl,furniture,bike,two day,east,rainy,291.4,6.12,13,16,no,delivered,5,1475.36,-3,5.063006177076184,Light,On Time
250.99,fedex,furniture,bike,standard,south,hot,295.0,19.68,9,24,no,delivered,5,1534.04,-15,5.200135593220339,Light,On Time
250.99,ekart,cosmetics,truck,same day,central,rainy,223.3,6.29,10,8,yes,failed,1,1235.37,2,5.532333184057321,Light,Delayed
250.99,delhivery,automobile parts,scooter,express,south,hot,242.5,46.73,10,6,yes,failed,1,1402.69,4,5.784288659793814,Heavy,Delayed
250.99,fedex,furniture,ev bike,two day,central,rainy,35.1,22.72,8,16,no,delivered,5,243.66,-8,6.941880341880341,Heavy,On Time
250.99,amazon logistics,clothing,bike,express,central,stormy,81.8,45.51,5,3,yes,delayed,2,595.53,2,7.280317848410758,Heavy,Delayed
250.99,delhivery,documents,bike,same day,east,clear,37.6,22.81,3,8,no,delivered,4,356.43,-5,9.479521276595744,Heavy,On Time
250.99,amazon logistics,furniture,ev bike,express,north,rainy,46.8,4.72,5,2,yes,delayed,2,298.16,3,6.370940170940172,Light,Delayed
250.99,amazon logistics,electronics,scooter,same day,central,hot,233.4,18.0,5,8,no,delivered,5,1321.0,-3,5.65981148243359,Light,On Time
250.99,ekart,documents,bike,standard,east,rainy,62.2,48.58,7,24,no,delivered,3,456.74,-17,7.343086816720257,Heavy,On Time
250.99,shadowfax,clothing,ev bike,standard,south,foggy,114.0,43.85,6,24,no,delivered,4,701.55,-18,6.153947368421052,Heavy,On Time
250.99,blue dart,automobile parts,ev bike,same day,north,foggy,131.5,25.79,6,8,no,delivered,5,834.87,-2,6.348821292775665,Heavy,On Time
250.99,xpressbees,groceries,ev van,express,south,rainy,21.4,16.58,3,2,yes,delayed,3,206.74,1,9.660747663551403,Light,Delayed
250.99,xpressbees,fragile items,truck,standard,west,stormy,258.5,8.37,7,24,no,delivered,5,1317.61,-17,5.097137330754352,Light,On Time
250.99,dhl,furniture,van,two day,east,rainy,253.9,7.07,9,16,no,delivered,3,1290.71,-7,5.083536825521859,Light,On Time
250.99,delhivery,furniture,ev bike,same day,north,stormy,6.7,7.96,6,8,no,delivered,4,157.38,-2,23.48955223880597,Light,On Time
250.99,ecom express,automobile parts,ev bike,standard,west,hot,178.1,26.7,5,24,no,delivered,4,970.6,-19,5.449747332959012,Heavy,On Time
250.99,fedex,cosmetics,truck,standard,south,hot,180.0,35.04,4,24,no,delivered,3,1005.12,-20,5.584,Heavy,On Time
250.99,ecom express,documents,scooter,two day,north,rainy,187.9,14.96,11,16,no,delivered,4,984.38,-5,5.238850452368281,Light,On Time
250.99,xpressbees,documents,ev van,express,west,hot,78.3,49.22,4,3,yes,failed,1,589.16,1,7.524393358876117,Heavy,Delayed
250.99,amazon logistics,pharmacy,ev bike,express,west,hot,51.6,23.45,2,3,no,delivered,4,378.35,-1,7.332364341085271,Heavy,On Time
250.99,xpressbees,electronics,ev van,same day,central,stormy,26.9,29.86,5,8,no,delivered,5,324.08,-3,12.047583643122676,Heavy,On Time
250.99,blue dart,clothing,truck,express,north,hot,216.7,26.89,7,6,yes,delayed,2,1214.17,1,5.602999538532534,Heavy,Delayed
250.99,dhl,electronics,van,standard,south,foggy,148.2,38.6,5,24,no,delivered,4,856.8,-19,5.781376518218623,Heavy,On Time
250.99,fedex,cosmetics,ev van,same day,south,clear,184.2,46.79,5,8,no,delivered,4,1161.37,-3,6.304940282301845,Heavy,On Time
250.99,fedex,groceries,truck,same day,east,stormy,167.7,42.4,7,8,no,delivered,5,1065.7,-1,6.354800238521169,Heavy,On Time
250.99,delhivery,electronics,ev bike,standard,central,cold,197.7,25.84,9,24,no,delivered,5,1066.02,-15,5.3921092564491655,Heavy,On Time
250.99,fedex,cosmetics,ev van,standard,north,foggy,211.9,46.94,7,24,no,delivered,5,1200.32,-17,5.664558754129306,Heavy,On Time
250.99,blue dart,pharmacy,scooter,same day,west,stormy,64.3,21.05,6,8,no,delivered,5,484.65,-2,7.537325038880248,Heavy,On Time
250.99,xpressbees,cosmetics,scooter,two day,east,hot,206.7,3.87,3,16,no,delivered,4,1045.11,-13,5.056168359941944,Light,On Time
250.99,xpressbees,clothing,bike,two day,east,cold,83.5,6.81,3,16,no,delivered,5,437.93,-13,5.244670658682635,Light,On Time
250.99,ecom express,fragile items,truck,same day,central,foggy,9.3,47.62,3,8,no,delivered,5,289.36,-5,31.113978494623655,Heavy,On Time
250.99,xpressbees,clothing,ev bike,standard,west,rainy,245.9,47.01,12,24,no,delivered,3,1370.53,-12,5.57352582350549,Heavy,On Time
250.99,dhl,pharmacy,ev van,express,north,stormy,225.7,45.7,8,6,yes,delayed,2,1315.6,2,5.828976517501108,Heavy,Delayed
250.99,ecom express,pharmacy,bike,express,east,hot,226.0,37.62,7,6,yes,delayed,2,1292.86,1,5.720619469026548,Heavy,Delayed
250.99,dhl,clothing,bike,two day,west,hot,113.3,34.03,4,16,no,delivered,5,668.59,-12,5.901059135039718,Heavy,On Time
250.99,ekart,groceries,ev bike,standard,north,stormy,232.3,41.91,12,24,no,delivered,4,1287.23,-12,5.541239776151528,Heavy,On Time
250.99,ecom express,electronics,scooter,express,east,cold,87.7,22.38,4,3,yes,failed,2,555.64,1,6.3356898517673885,Heavy,Delayed
250.99,dhl,furniture,van,same day,east,rainy,90.1,27.46,6,8,no,delivered,4,632.88,-2,7.024195338512764,Heavy,On Time
250.99,delhivery,cosmetics,bike,express,north,rainy,110.4,44.94,6,4,yes,delayed,2,736.82,2,6.674094202898551,Heavy,Delayed
250.99,fedex,documents,bike,same day,central,cold,217.3,3.03,6,8,no,delivered,5,1195.59,-2,5.502024850437183,Light,On Time
250.99,amazon logistics,furniture,truck,standard,south,rainy,75.2,28.25,6,24,no,delivered,3,460.75,-18,6.126994680851063,Heavy,On Time
250.99,blue dart,automobile parts,ev bike,two day,south,hot,23.2,19.18,2,16,no,delivered,5,173.54,-14,7.480172413793103,Light,On Time
250.99,fedex,documents,ev van,express,north,rainy,78.5,27.87,8,3,yes,delayed,3,526.11,5,6.70203821656051,Heavy,Delayed
250.99,blue dart,documents,van,express,north,hot,138.3,47.87,8,4,yes,delayed,3,885.11,4,6.399927693420101,Heavy,Delayed
250.99,xpressbees,clothing,truck,two day,north,cold,96.4,39.33,3,16,no,delivered,4,599.99,-13,6.223962655601659,Heavy,On Time
250.99,fedex,furniture,ev van,standard,west,cold,216.2,23.93,11,24,no,delivered,4,1152.79,-13,5.332053654024052,Heavy,On Time
250.99,ekart,clothing,van,express,south,stormy,24.1,34.1,7,2,yes,delayed,3,272.8,5,11.319502074688797,Heavy,Delayed
250.99,ekart,fragile items,scooter,standard,east,rainy,197.1,28.23,13,24,no,delivered,4,1070.19,-11,5.429680365296804,Heavy,On Time
250.99,shadowfax,documents,ev bike,same day,west,foggy,94.8,10.02,2,8,no,delivered,4,604.06,-6,6.371940928270042,Light,On Time
250.99,xpressbees,pharmacy,bike,express,south,hot,56.0,22.91,3,3,yes,delayed,2,398.73,0,7.120178571428572,Heavy,Delayed
250.99,ecom express,clothing,scooter,same day,east,stormy,70.7,5.72,8,8,yes,delayed,3,470.66,0,6.6571428571428575,Light,Delayed
250.99,dhl,documents,bike,same day,east,rainy,60.4,22.93,6,8,no,delivered,5,470.79,-2,7.79453642384106,Heavy,On Time
250.99,blue dart,clothing,truck,same day,central,stormy,258.4,22.08,9,8,yes,failed,2,1458.24,1,5.643343653250774,Heavy,Delayed
250.99,amazon logistics,furniture,scooter,two day,central,cold,89.3,34.98,4,16,no,delivered,4,551.44,-12,6.1751399776035845,Heavy,On Time
250.99,shadowfax,electronics,van,two day,south,clear,244.0,13.62,7,16,no,delivered,4,1260.86,-9,5.167459016393442,Light,On Time
250.99,xpressbees,electronics,truck,standard,south,stormy,87.8,19.77,8,24,no,delivered,4,498.31,-16,5.675512528473805,Light,On Time
250.99,delhivery,furniture,scooter,same day,east,stormy,3.6,20.7,3,8,no,delivered,4,172.6,-5,47.94444444444444,Heavy,On Time
250.99,ekart,furniture,van,two day,south,cold,3.6,8.75,0,16,no,delivered,3,95.6674,-16,26.574277777777777,Light,On Time
250.99,xpressbees,documents,van,standard,east,rainy,111.0,36.68,9,24,no,delivered,4,665.04,-15,5.991351351351351,Heavy,On Time
250.99,amazon logistics,groceries,bike,express,east,rainy,256.4,33.53,11,7,yes,delayed,3,1432.59,4,5.587324492979719,Heavy,Delayed
250.99,dhl,groceries,ev van,same day,east,foggy,177.9,20.16,7,8,no,delivered,5,1049.98,-1,5.902079820123665,Heavy,On Time
250.99,amazon logistics,cosmetics,ev van,two day,east,rainy,204.2,8.09,9,16,no,delivered,4,1045.27,-7,5.118854064642507,Light,On Time
250.99,amazon logistics,furniture,ev bike,standard,central,cold,125.0,39.41,4,24,no,delivered,5,743.23,-20,5.9458400000000005,Heavy,On Time
250.99,dhl,fragile items,bike,two day,north,hot,83.3,34.71,4,16,no,delivered,4,520.63,-12,6.250060024009604,Heavy,On Time
250.99,ecom express,clothing,van,standard,west,foggy,193.2,33.28,7,24,no,delivered,4,1065.84,-17,5.516770186335403,Heavy,On Time
250.99,ekart,clothing,van,two day,east,foggy,174.3,47.29,10,16,no,delivered,5,1013.37,-6,5.81394148020654,Heavy,On Time
250.99,ekart,groceries,bike,same day,west,clear,11.4,40.22,1,8,no,delivered,5,277.66,-7,24.356140350877194,Heavy,On Time
250.99,xpressbees,electronics,ev van,express,east,clear,166.4,44.96,6,5,yes,delayed,2,1016.88,1,6.111057692307692,Heavy,Delayed
250.99,shadowfax,cosmetics,van,standard,west,stormy,189.6,38.07,11,24,no,delivered,5,1062.21,-13,5.60237341772152,Heavy,On Time
250.99,blue dart,groceries,truck,express,west,stormy,111.2,37.33,6,4,yes,delayed,2,717.99,2,6.456744604316547,Heavy,Delayed
250.99,amazon logistics,groceries,ev bike,same day,west,hot,103.2,37.97,4,8,no,delivered,5,729.91,-4,7.0727713178294564,Heavy,On Time
250.99,blue dart,furniture,scooter,standard,east,clear,236.4,47.28,9,24,no,delivered,4,1323.84,-15,5.6,Heavy,On Time
250.99,amazon logistics,electronics,van,same day,central,clear,111.9,26.34,5,8,no,delivered,5,738.52,-3,6.599821268990169,Heavy,On Time
250.99,delhivery,groceries,ev van,standard,south,stormy,86.6,20.64,8,24,no,delivered,5,494.92,-16,5.715011547344111,Heavy,On Time
250.99,amazon logistics,automobile parts,ev bike,standard,west,clear,235.6,48.07,5,24,no,delivered,5,1322.21,-19,5.612096774193549,Heavy,On Time
250.99,amazon logistics,pharmacy,truck,same day,south,cold,295.5,48.45,6,8,no,delivered,4,1632.7206,-2,5.525281218274112,Heavy,On Time
250.99,amazon logistics,pharmacy,truck,two day,west,foggy,56.3,43.65,5,16,no,delivered,5,412.45,-11,7.325932504440497,Heavy,On Time
250.99,shadowfax,furniture,bike,two day,central,stormy,114.2,28.82,6,16,no,delivered,5,657.46,-10,5.757092819614711,Heavy,On Time
250.99,fedex,furniture,scooter,same day,north,hot,3.6,31.41,2,8,no,delivered,4,203.23,-6,56.452777777777776,Heavy,On Time
250.99,xpressbees,automobile parts,bike,same day,west,stormy,146.2,22.55,9,8,yes,failed,2,898.65,1,6.14671682626539,Heavy,Delayed
250.99,ekart,automobile parts,ev bike,same day,east,clear,85.6,10.69,3,8,no,delivered,4,560.07,-5,6.542873831775702,Light,On Time
250.99,amazon logistics,groceries,ev van,express,south,rainy,247.9,5.23,9,6,yes,failed,2,1305.19,3,5.264985881403792,Light,Delayed
250.99,shadowfax,automobile parts,bike,standard,south,foggy,274.8,0.82,9,24,no,delivered,4,1376.46,-15,5.008951965065502,Light,On Time
250.99,fedex,electronics,scooter,standard,west,clear,35.7,10.8,3,24,no,delivered,3,210.9,-21,5.9075630252100835,Light,On Time
250.99,fedex,documents,van,express,central,stormy,259.3,27.01,8,7,yes,failed,1,1427.53,1,5.505322020825298,Heavy,Delayed
250.99,shadowfax,documents,ev bike,same day,south,clear,65.3,45.09,4,8,no,delivered,5,561.77,-4,8.60290964777948,Heavy,On Time
250.99,delhivery,cosmetics,van,express,south,clear,93.1,20.89,2,3,no,delivered,3,578.17,-1,6.210204081632653,Heavy,On Time
250.99,blue dart,pharmacy,bike,standard,central,hot,265.8,32.11,9,24,no,delivered,5,1425.33,-15,5.362415349887133,Heavy,On Time
250.99,ekart,furniture,truck,two day,west,clear,110.2,23.24,4,16,no,delivered,4,620.72,-12,5.632667876588022,Heavy,On Time
250.99,blue dart,documents,bike,standard,west,clear,6.0,0.88,1,24,no,delivered,4,95.6674,-23,15.944566666666667,Light,On Time
250.99,dhl,furniture,truck,two day,east,foggy,16.5,21.49,2,16,no,delivered,4,146.97,-14,8.907272727272726,Heavy,On Time
250.99,xpressbees,documents,ev van,standard,north,cold,102.0,18.67,4,24,no,delivered,4,566.01,-20,5.549117647058823,Light,On Time
250.99,shadowfax,furniture,bike,express,north,rainy,265.4,15.96,13,7,yes,delayed,3,1424.88,6,5.368801808590807,Light,Delayed
250.99,fedex,groceries,ev van,two day,north,foggy,27.5,15.43,2,16,no,delivered,5,183.79,-14,6.683272727272727,Light,On Time
250.99,amazon logistics,fragile items,truck,two day,south,hot,59.5,7.79,2,16,no,delivered,3,320.87,-14,5.392773109243698,Light,On Time
250.99,shadowfax,cosmetics,bike,express,north,cold,290.2,29.26,6,7,no,delivered,4,1588.78,-1,5.474776016540317,Heavy,On Time
250.99,delhivery,clothing,scooter,standard,east,rainy,124.0,40.2,8,24,no,delivered,4,740.6,-16,5.97258064516129,Heavy,On Time
250.99,xpressbees,automobile parts,scooter,two day,north,clear,261.9,41.68,9,16,no,delivered,4,1434.54,-7,5.477434135166094,Heavy,On Time
250.99,shadowfax,pharmacy,ev van,two day,central,rainy,115.6,13.57,8,16,no,delivered,5,618.71,-8,5.352162629757786,Light,On Time
250.99,shadowfax,groceries,ev bike,express,east,hot,156.0,14.49,2,5,no,delivered,3,873.47,-3,5.599166666666667,Light,On Time
250.99,shadowfax,furniture,van,standard,north,foggy,284.1,14.35,9,24,no,delivered,4,1463.55,-15,5.151531151003168,Light,On Time
250.99,fedex,clothing,truck,same day,north,cold,287.0,8.21,10,8,yes,failed,1,1559.63,2,5.43425087108014,Light,Delayed
250.99,delhivery,electronics,van,two day,north,foggy,50.5,31.28,2,16,no,delivered,4,346.34,-14,6.858217821782178,Heavy,On Time
250.99,shadowfax,groceries,van,two day,west,foggy,203.3,7.5,7,16,no,delivered,4,1039.0,-9,5.110673880964092,Light,On Time
250.99,amazon logistics,fragile items,truck,same day,west,hot,127.8,20.03,2,8,no,delivered,3,799.09,-6,6.252660406885759,Heavy,On Time
250.99,ekart,groceries,scooter,two day,east,cold,45.8,27.22,1,16,no,delivered,5,310.66,-15,6.782969432314411,Heavy,On Time
250.99,shadowfax,groceries,ev bike,same day,west,hot,8.7,33.93,0,8,no,delivered,5,245.29,-8,28.19425287356322,Heavy,On Time
250.99,delhivery,automobile parts,ev van,standard,north,rainy,152.8,48.37,6,24,no,delivered,4,909.11,-18,5.94967277486911,Heavy,On Time
250.99,dhl,automobile parts,ev van,same day,south,rainy,29.0,40.89,5,8,no,delivered,4,367.67,-3,12.678275862068967,Heavy,On Time
250.99,dhl,furniture,scooter,standard,north,clear,281.6,19.81,8,24,no,delivered,3,1467.43,-16,5.211044034090909,Light,On Time
250.99,ecom express,electronics,van,same day,east,stormy,75.7,41.47,8,8,yes,delayed,2,602.91,0,7.964464993394979,Heavy,Delayed
250.99,blue dart,cosmetics,scooter,standard,north,cold,132.5,14.18,3,24,no,delivered,4,705.04,-21,5.3210566037735845,Light,On Time
250.99,ekart,cosmetics,truck,standard,west,rainy,218.2,34.0,10,24,no,delivered,5,1193.0,-14,5.467461044912924,Heavy,On Time
250.99,dhl,automobile parts,scooter,express,east,rainy,152.8,10.46,8,5,yes,delayed,2,845.38,3,5.532591623036649,Light,Delayed
250.99,ecom express,automobile parts,van,same day,west,cold,113.8,21.95,4,8,no,delivered,3,734.85,-4,6.457381370826011,Heavy,On Time
250.99,amazon logistics,pharmacy,bike,standard,east,clear,189.3,30.78,7,24,no,delivered,5,1038.84,-17,5.487797147385102,Heavy,On Time
250.99,delhivery,electronics,truck,two day,north,rainy,60.1,40.63,5,16,no,delivered,3,422.39,-11,7.028119800332778,Heavy,On Time
250.99,ekart,documents,truck,same day,south,foggy,147.7,46.57,6,8,no,delivered,4,978.21,-2,6.622951929587002,Heavy,On Time
250.99,amazon logistics,cosmetics,truck,two day,north,cold,289.0,48.99,6,16,no,delivered,4,1591.97,-10,5.508546712802768,Heavy,On Time
250.99,delhivery,pharmacy,van,express,north,cold,235.6,42.35,7,6,yes,delayed,3,1355.05,1,5.751485568760611,Heavy,Delayed
250.99,amazon logistics,groceries,ev bike,same day,central,cold,101.1,9.76,4,8,no,delivered,4,634.78,-4,6.278733926805144,Light,On Time
250.99,ekart,groceries,truck,two day,central,cold,273.9,42.56,6,16,no,delivered,3,1497.18,-10,5.466155531215773,Heavy,On Time
250.99,ecom express,cosmetics,scooter,standard,north,clear,262.6,29.36,4,24,no,delivered,4,1401.08,-20,5.335415079969534,Heavy,On Time
250.99,ekart,groceries,van,two day,east,clear,82.2,18.81,2,16,no,delivered,3,467.43,-14,5.686496350364964,Light,On Time
250.99,dhl,clothing,truck,same day,south,cold,280.3,15.29,7,8,no,delivered,4,1547.37,-1,5.520406707099536,Light,On Time
250.99,shadowfax,automobile parts,bike,same day,east,foggy,146.1,36.12,8,8,yes,delayed,2,938.86,0,6.426146475017112,Heavy,Delayed
250.99,blue dart,groceries,van,same day,west,clear,279.9,21.63,12,8,yes,failed,2,1564.39,4,5.58910325116113,Heavy,Delayed
250.99,shadowfax,documents,ev van,same day,south,stormy,165.4,43.2,11,8,yes,delayed,2,1056.6,3,6.388149939540507,Heavy,Delayed
250.99,fedex,electronics,van,two day,central,cold,29.9,47.31,2,16,no,delivered,3,291.43,-14,9.746822742474917,Heavy,On Time
250.99,amazon logistics,furniture,truck,standard,north,hot,42.6,44.55,1,24,no,delivered,4,346.65,-23,8.13732394366197,Heavy,On Time
250.99,ecom express,automobile parts,ev bike,standard,east,foggy,149.9,23.31,10,24,no,delivered,4,819.43,-14,5.466511007338225,Heavy,On Time
250.99,shadowfax,clothing,scooter,standard,west,rainy,8.4,44.16,4,24,no,delivered,4,174.48,-20,20.77142857142857,Heavy,On Time
250.99,dhl,documents,ev bike,two day,east,hot,230.8,30.01,6,16,no,delivered,4,1244.03,-10,5.390077989601386,Heavy,On Time
250.99,dhl,clothing,bike,express,west,clear,93.0,9.37,2,3,no,delivered,4,543.11,-1,5.8398924731182795,Light,On Time
250.99,dhl,electronics,van,two day,west,clear,10.4,4.59,1,16,no,delivered,4,95.6674,-15,9.198788461538461,Light,On Time
250.99,amazon logistics,pharmacy,truck,two day,north,hot,194.9,2.42,4,16,no,delivered,4,981.76,-12,5.037249871729092,Light,On Time
250.99,ekart,documents,scooter,express,west,rainy,182.1,2.26,11,5,yes,delayed,2,967.28,6,5.3118066996155955,Light,Delayed
250.99,blue dart,cosmetics,ev bike,standard,south,clear,38.8,40.89,3,24,no,delivered,4,316.67,-21,8.16159793814433,Heavy,On Time
250.99,dhl,groceries,bike,two day,north,cold,55.2,6.78,1,16,no,delivered,3,296.34,-15,5.368478260869565,Light,On Time
250.99,delhivery,pharmacy,truck,express,east,stormy,223.3,44.36,12,6,yes,failed,1,1299.58,6,5.819883564711151,Heavy,Delayed
250.99,delhivery,electronics,truck,express,west,hot,46.2,14.83,2,2,no,delivered,5,325.49,0,7.045238095238095,Light,On Time
250.99,delhivery,documents,ev bike,two day,south,hot,3.6,49.52,1,16,no,delivered,5,163.39,-15,45.386111111111106,Heavy,On Time
250.99,xpressbees,groceries,scooter,express,north,hot,297.1,22.0,5,8,no,delivered,5,1615.5,-3,5.437563110063951,Heavy,On Time
250.99,xpressbees,electronics,bike,express,central,hot,87.8,7.72,3,3,no,delivered,5,512.16,0,5.833257403189066,Light,On Time
250.99,xpressbees,groceries,truck,express,central,hot,267.4,11.53,9,7,yes,delayed,2,1421.59,2,5.316342557965595,Light,Delayed
250.99,fedex,furniture,ev van,two day,east,stormy,124.8,10.84,10,16,no,delivered,4,656.52,-6,5.260576923076923,Light,On Time
250.99,xpressbees,groceries,ev bike,express,south,clear,288.9,8.3,6,7,no,delivered,4,1519.4,-1,5.25925925925926,Light,On Time
250.99,blue dart,furniture,scooter,two day,central,hot,129.5,39.84,4,16,no,delivered,4,767.02,-12,5.922934362934363,Heavy,On Time
250.99,ecom express,fragile items,van,same day,south,foggy,225.0,7.32,11,8,yes,delayed,3,1246.96,3,5.5420444444444446,Light,Delayed
250.99,fedex,cosmetics,scooter,standard,south,stormy,289.7,24.36,14,24,no,delivered,5,1521.58,-10,5.252260959613393,Heavy,On Time
250.99,ecom express,electronics,ev bike,standard,south,rainy,85.4,41.07,7,24,no,delivered,4,550.21,-17,6.4427400468384075,Heavy,On Time
250.99,blue dart,pharmacy,truck,same day,east,hot,9.9,30.24,0,8,no,delivered,3,240.22,-8,24.264646464646464,Heavy,On Time
250.99,fedex,automobile parts,van,standard,west,hot,135.1,37.59,4,24,no,delivered,5,788.27,-20,5.8347150259067355,Heavy,On Time
250.99,xpressbees,fragile items,bike,standard,south,stormy,228.6,5.64,9,24,no,delivered,4,1159.92,-15,5.0740157480314965,Light,On Time
250.99,fedex,documents,truck,express,north,rainy,169.6,41.44,9,5,yes,delayed,3,1022.32,4,6.027830188679245,Heavy,Delayed
250.99,fedex,fragile items,van,express,central,foggy,250.7,29.97,10,7,yes,failed,2,1393.41,3,5.558077383326686,Heavy,Delayed
250.99,blue dart,fragile items,bike,two day,north,rainy,80.7,0.67,7,16,no,delivered,4,404.76,-9,5.015613382899628,Light,On Time
250.99,dhl,groceries,scooter,two day,east,stormy,21.3,41.19,7,16,no,delivered,3,230.07,-9,10.801408450704225,Heavy,On Time
250.99,ekart,fragile items,ev bike,two day,north,clear,67.1,32.91,2,16,no,delivered,4,434.23,-14,6.471385991058123,Heavy,On Time
250.99,ekart,pharmacy,ev bike,standard,west,foggy,69.4,0.99,5,24,no,delivered,3,349.97,-19,5.042795389048991,Light,On Time
250.99,xpressbees,cosmetics,van,two day,south,cold,101.2,39.37,2,16,no,delivered,5,624.11,-14,6.167094861660079,Heavy,On Time
250.99,shadowfax,cosmetics,ev bike,two day,north,rainy,94.2,49.37,5,16,no,delivered,4,619.11,-11,6.572292993630573,Heavy,On Time
250.99,shadowfax,fragile items,ev bike,same day,north,foggy,71.0,32.56,5,8,no,delivered,3,552.68,-3,7.784225352112675,Heavy,On Time
250.99,dhl,automobile parts,truck,two day,east,foggy,37.4,42.36,3,16,no,delivered,4,314.08,-13,8.397860962566845,Heavy,On Time
250.99,ecom express,fragile items,scooter,two day,north,cold,157.0,43.03,3,16,no,delivered,4,914.09,-13,5.822229299363057,Heavy,On Time
250.99,delhivery,groceries,van,same day,east,cold,213.7,49.52,5,8,no,delivered,5,1317.81,-3,6.166635470285447,Heavy,On Time
250.99,dhl,pharmacy,ev bike,express,central,cold,272.6,12.84,8,7,yes,delayed,2,1451.52,1,5.324724871606749,Light,Delayed
250.99,blue dart,pharmacy,scooter,express,south,stormy,83.5,24.02,7,3,yes,delayed,2,539.56,4,6.461796407185628,Heavy,Delayed
